gvkey,fyear,fyend,date,comnam,sic,ret,vwretd,sprtrn
001078,2017,12,31jul2017,ABBOTT LABORATORIES,2834,.0171775277704,.02032932,.01934877
001078,2017,12,31aug2017,ABBOTT LABORATORIES,2834,.0357868708670139,.001589232,.0005464923
001078,2017,12,29sep2017,ABBOTT LABORATORIES,2834,.0475069098174572,.0237333,.0193029
001078,2017,12,31oct2017,ABBOTT LABORATORIES,2834,.0212705936282873,.01928174,.02218818
001078,2017,12,30nov2017,ABBOTT LABORATORIES,2834,.0394615419209003,.02730906,.0280826
001078,2017,12,29dec2017,ABBOTT LABORATORIES,2834,.0124179664999247,.01217342,.009831619
001078,2018,12,31jan2018,ABBOTT LABORATORIES,2834,.0940949767827988,.05065686,.05617873
001078,2018,12,28feb2018,ABBOTT LABORATORIES,2834,-.0294401217252016,-.03946393,-.03894738
001078,2018,12,29mar2018,ABBOTT LABORATORIES,2834,-.0067960158921778,-.01843439,-.02688451
001078,2018,12,30apr2018,ABBOTT LABORATORIES,2834,-.0252002198249102,.004768502,.002718801
001078,2018,12,31may2018,ABBOTT LABORATORIES,2834,.058489553630352,.02616928,.02160835
001078,2018,12,29jun2018,ABBOTT LABORATORIES,2834,-.0087761599570513,.005334684,.0048424
001078,2018,12,31jul2018,ABBOTT LABORATORIES,2834,.0791932940483093,.03160318,.03602159
001078,2018,12,31aug2018,ABBOTT LABORATORIES,2834,.0198351442813873,.030221,.03026322
001078,2018,12,28sep2018,ABBOTT LABORATORIES,2834,.0975464507937431,.0004459018,.004294301
001078,2018,12,31oct2018,ABBOTT LABORATORIES,2834,-.0564339980483055,-.07403179,-.06940336
001078,2018,12,30nov2018,ABBOTT LABORATORIES,2834,.074122428894043,.01853506,.01785938
001078,2018,12,31dec2018,ABBOTT LABORATORIES,2834,-.0232275649905205,-.08980669,-.09177695
001161,2013,12,31jan2013,ADVANCED MICRO DEVICES INC,3674,.0833332538604736,.05414457,.05042806
001161,2013,12,28feb2013,ADVANCED MICRO DEVICES INC,3674,-.0423076525330544,.008340364,.0110606
001161,2013,12,28mar2013,ADVANCED MICRO DEVICES INC,3674,.0240963622927666,.03529375,.0359878
001161,2013,12,30apr2013,ADVANCED MICRO DEVICES INC,3674,.1058823466300964,.01494684,.01808576
001161,2013,12,31may2013,ADVANCED MICRO DEVICES INC,3674,.4184397459030151,.01907392,.02076278
001161,2013,12,28jun2013,ADVANCED MICRO DEVICES INC,3674,.0199999809265137,-.01503552,-.01499933
001161,2013,12,31jul2013,ADVANCED MICRO DEVICES INC,3674,-.0759803801774979,.05271696,.04946211
001161,2013,12,30aug2013,ADVANCED MICRO DEVICES INC,3674,-.1326259970664978,-.02572692,-.03129801
001161,2013,12,30sep2013,ADVANCED MICRO DEVICES INC,3674,.1651376038789749,.03747036,.02974948
001161,2013,12,31oct2013,ADVANCED MICRO DEVICES INC,3674,-.1233595907688141,.03989509,.04459576
001161,2013,12,29nov2013,ADVANCED MICRO DEVICES INC,3674,.089820422232151,.02496603,.02804946
001161,2013,12,31dec2013,ADVANCED MICRO DEVICES INC,3674,.0631867498159409,.02613987,.02356283
001161,2014,12,31jan2014,ADVANCED MICRO DEVICES INC,3674,-.1136950477957726,-.0299865,-.0355829
001161,2014,12,28feb2014,ADVANCED MICRO DEVICES INC,3674,.0816326439380646,.04618626,.04311704
